run_id,item_id,model_key,model_name,difficulty,status,correct,latency_ms,prompt_tokens,completion_tokens,parsed_sql,note
20260915-103043,q042,local,qwen2.5-coder:3b-instruct-q4_K_M,hard,wrong_result,False,9344.1,309,28,SELECT emp_no FROM employees WHERE emp_no IN (SELECT emp_no FROM salaries WHERE salary > (SELECT AVG(salary) FROM salaries)),"returned 60453 rows, expected 36538"
20260915-103043,q043,local,qwen2.5-coder:3b-instruct-q4_K_M,hard,sql_error,False,30185.2,312,97,"SELECT d.dept_name, e.first_name, e.last_name, MAX(s.salary) as highest_salary
FROM departments d
JOIN dept_emp de ON d.dept_no = de.dept_no
JOIN employees e ON de.emp_no = e.emp_no
JOIN salaries s ON e.emp_no = s.emp_no
WHERE s.to_date = '9999-01-01'
GROUP BY d.dept_name, e.first_name, e.last_name",item not in gold cache - re-run cache_gold
20260915-103043,q044,local,qwen2.5-coder:3b-instruct-q4_K_M,hard,wrong_result,False,41586.2,309,142,"SELECT e.emp_no, e.first_name, e.last_name
FROM employees e
JOIN salaries s ON e.emp_no = s.emp_no
WHERE s.to_date = '9999-01-01'
  AND e.emp_no NOT IN (
    SELECT emp_no
    FROM (
      SELECT emp_no, MAX(to_date) AS max_to_date
      FROM salaries
      GROUP BY emp_no
    ) AS max_salaries
    WHERE max_to_date < (
      SELECT to_date
      FROM salaries
      WHERE emp_no = max_salaries.emp_no
        AND to_date = '9999-01-01'
    )
  )","returned 81635 rows, expected 43906"
20260915-103043,q045,local,qwen2.5-coder:3b-instruct-q4_K_M,hard,wrong_result,False,30910.2,314,107,"SELECT e.emp_no, 
       (s2.salary - s1.salary) * 100.0 / s1.salary AS salary_increase_percentage
FROM employees e
JOIN salaries s1 ON e.emp_no = s1.emp_no
JOIN salaries s2 ON e.emp_no = s2.emp_no
WHERE s2.to_date = '9999-01-01' AND s1.to_date = '9999-01-01'
ORDER BY e.emp_no","returned 81635 rows, expected 101796"
20260915-103043,q046,local,qwen2.5-coder:3b-instruct-q4_K_M,hard,sql_error,False,28669.0,311,84,"SELECT d.dept_name FROM departments d
JOIN dept_emp de ON d.dept_no = de.dept_no
WHERE de.to_date = '9999-01-01'
GROUP BY d.dept_name
HAVING COUNT(de.emp_no) > (SELECT AVG(COUNT(emp_no)) FROM dept_emp WHERE to_date = '9999-01-01')",misuse of aggregate function COUNT()
20260915-103043,q047,local,qwen2.5-coder:3b-instruct-q4_K_M,hard,sql_error,False,10383.6,308,32,SELECT emp_no FROM titles GROUP BY emp_no HAVING COUNT(DISTINCT title) > (SELECT AVG(COUNT(DISTINCT title)) FROM titles),misuse of aggregate function COUNT()
20260915-103043,q048,local,qwen2.5-coder:3b-instruct-q4_K_M,hard,wrong_result,False,15557.1,310,49,"SELECT d.dept_name, AVG(s.salary) 
FROM departments d 
JOIN dept_emp de ON d.dept_no = de.dept_no 
JOIN salaries s ON de.emp_no = s.emp_no 
GROUP BY d.dept_name","same shape, different values"
20260915-103043,q049,local,qwen2.5-coder:3b-instruct-q4_K_M,hard,correct,True,24211.8,311,84,"SELECT d.dept_name, MAX(s.salary) - MIN(s.salary) AS salary_difference
FROM departments d
JOIN dept_emp de ON d.dept_no = de.dept_no
JOIN salaries s ON de.emp_no = s.emp_no
WHERE s.to_date = '9999-01-01'
GROUP BY d.dept_name
ORDER BY salary_difference DESC
LIMIT 1",
20260915-103043,q050,local,qwen2.5-coder:3b-instruct-q4_K_M,hard,wrong_result,False,22090.9,308,78,"SELECT e.emp_no, e.first_name, e.last_name FROM employees e
LEFT JOIN titles t ON e.emp_no = t.emp_no
LEFT JOIN dept_emp de ON e.emp_no = de.emp_no
WHERE t.to_date = '9999-01-01' AND de.to_date = '9999-01-01'","returned 240124 rows, expected 0"
20260915-103043,q051,local,qwen2.5-coder:3b-instruct-q4_K_M,hard,sql_error,False,21098.2,313,70,"SELECT d.dept_name, m.emp_no, m.from_date, m.to_date
FROM departments d
JOIN dept_manager dm ON d.dept_no = dm.dept_no
JOIN employees m ON dm.emp_no = m.emp_no
GROUP BY d.dept_name
HAVING COUNT(DISTINCT m.emp_no) > 2",no such column: m.from_date
20260915-103043,q052,local,qwen2.5-coder:3b-instruct-q4_K_M,hard,correct,True,16875.4,318,47,"SELECT strftime('%Y', hire_date) AS year, COUNT(emp_no) AS num_employees FROM employees WHERE strftime('%Y', hire_date) BETWEEN '1985' AND '1989' GROUP BY year",
20260915-103043,q053,local,qwen2.5-coder:3b-instruct-q4_K_M,hard,wrong_result,False,17734.5,319,49,"SELECT dept_no FROM dept_emp WHERE strftime('%Y', from_date) BETWEEN '1985' AND '1989' GROUP BY dept_no HAVING COUNT(DISTINCT strftime('%Y', from_date)) = 5","same shape, different values"
20260915-103043,q054,local,qwen2.5-coder:3b-instruct-q4_K_M,hard,wrong_result,False,11237.4,310,34,"SELECT emp_no FROM titles WHERE emp_no IN (
    SELECT emp_no FROM titles
    GROUP BY emp_no
    HAVING COUNT(*) > 1
)","returned 283554 rows, expected 3022"
20260915-103043,q055,local,qwen2.5-coder:3b-instruct-q4_K_M,hard,wrong_result,False,19483.5,314,59,SELECT AVG(salary) FROM salaries WHERE to_date = '9999-01-01' ORDER BY salary LIMIT 1 OFFSET (SELECT COUNT(*) / 2 - 1 FROM salaries WHERE to_date = '9999-01-01'),"returned 0 rows, expected 1"
20260915-103043,q056,local,qwen2.5-coder:3b-instruct-q4_K_M,hard,wrong_result,False,11889.0,318,28,SELECT emp_no FROM salaries WHERE salary > (SELECT MAX(salary) FROM salaries WHERE emp_no = 10001),"returned 86372 rows, expected 13620"
20260915-103043,q057,local,qwen2.5-coder:3b-instruct-q4_K_M,hard,wrong_result,False,30827.2,309,98,"SELECT d.dept_name, CAST(COUNT(CASE WHEN e.gender = 'F' THEN 1 ELSE NULL END) AS REAL) * 100 / COUNT(e.emp_no) AS female_percentage
FROM departments d
JOIN dept_emp de ON d.dept_no = de.dept_no
JOIN employees e ON de.emp_no = e.emp_no
WHERE de.to_date = '9999-01-01'
GROUP BY d.dept_name","same shape, different values"
20260915-103043,q058,local,qwen2.5-coder:3b-instruct-q4_K_M,hard,sql_error,False,40722.1,311,134,"SELECT d.dept_name, e.first_name, e.last_name, e.salary
FROM dept_manager dm
JOIN employees e ON dm.emp_no = e.emp_no
JOIN departments d ON dm.dept_no = d.dept_no
JOIN salaries s ON e.emp_no = s.emp_no
WHERE s.to_date = '9999-01-01'
  AND e.salary > (SELECT AVG(salary) FROM salaries WHERE to_date = '9999-01-01' AND emp_no IN (SELECT emp_no FROM dept_manager WHERE to_date = '9999-01-01'))",no such column: e.salary
20260915-103043,q059,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,wrong_result,False,23778.3,314,57,"SELECT e.emp_no, e.first_name, e.last_name, t.title, t.from_date, t.to_date
FROM employees e
JOIN titles t ON e.emp_no = t.emp_no
WHERE t.to_date - t.from_date > 5 * 365","returned 240124 rows, expected 397776"
20260915-103043,q060,local,qwen2.5-coder:3b-instruct-q4_K_M,hard,wrong_result,False,30116.9,311,92,"SELECT d.dept_name FROM departments d
JOIN dept_emp de ON d.dept_no = de.dept_no
JOIN salaries s ON de.emp_no = s.emp_no
WHERE s.to_date = '9999-01-01'
GROUP BY d.dept_name
HAVING AVG(s.salary) > (SELECT AVG(salary) FROM salaries WHERE to_date = '9999-01-01')","returned 1 columns, expected 2"
